intent,query,Answer
창업/고민,최근 친구가 창업한 회사가 잘 나가는데 예전에 동업 제안을 했을 때 거절했던 게 후회돼.,
창업/고민,공부 말고 창업으로 돈을 벌고 싶은데 사람들 시선이 신경 쓰여.,
창업/고민,나 창업할 것 같아. 잘할 수 있을까? 기대도 되고 걱정스러운 마음도 들어.,
창업/고민,친구들에게 창업하려고 한다고 했더니 비웃음을 당해서 상처를 받았어.,
창업/고민,직장이 마음에 안들어서 그만 두고 창업을 준비중인데 잘 되지 않을까봐 두려워.,
창업/고민,친구들에게 창업하려고 한다고 했더니 비웃음을 당했어.,
창업/고민,남들은 은퇴 후에 창업도 하고 노후준비도 잘되어 있는데 나는 아무것도 해놓은 것이 없네.,
창업/고민,공부 말고 창업으로 돈을 벌고 싶은데 사람들 시선이 신경 쓰여.,
창업/고민,나 창업할 것 같아. 잘할 수 있을까? 기대도 되고 걱정스러운 마음도 들어.,
창업/고민,은퇴가 아직 많이 남았지만 창업을 하려고 해.,
창업/고민,퇴직금으로 창업을 하고 싶은데.,
창업/고민,나중에 은퇴하고 치킨집 창업을 고민중이야.,
창업/고민,친한 선배가 퇴직금으로 창업을 권해줬어.,
창업/고민,나이도 들고 회사에서 입지도 줄어드는 것 같고 해서 창업을 고심하고 있는데 정말 조심스럽네.,
창업/고민,이렇게 쥐꼬리만한 월급 받느니 창업이나할까?,
창업/성공,내가 공예과를 나와서 바로 공방을 차렸거든.,
창업/성공,물론 지금도 일 하는 건 재밌긴 해.,
창업/성공,최근 창업한 친구가 대박이 났다는 이야기를 들었어.,
창업/성공,회사를 그만 두고 창업을 했다던 동기가 요즘 잘나간다고 하네!,
창업/성공,직장에서 퇴직하고 창업을 했는데 생각보다 수익률이 높아서 다행이야.,
창업/성공,전 직장 동료와 함께 창업한 회사가 주식 상장을 해서 친구와 얼싸안고 기뻐했어.,
창업/성공,몇 개월 전에 작은 카페를 창업했는데 최근 블로그를 통해 우리 가게가 유명해져서 매출이 정말 많이 늘었어!,
창업/성공,나의 자식이 창업한 회사가 성공해서 자랑스러워.,
창업/성공,최근 창업한 친구가 대박이 났다는 이야기를 들었어.,
창업/성공,직장에서 퇴직하고 창업을 했는데 생각보다 수익률이 높아서 다행이야.,
창업/성공,전 직장 동료와 함께 창업한 회사가 주식 상장을 해서 친구와 얼싸안고 기뻐했어.,
창업/성공,몇 개월 전에 작은 카페를 창업했는데 최근 블로그를 통해 우리 가게가 유명해져서 매출이 정말 많이 늘었어!,
창업/성공,나의 자식이 창업한 회사가 성공해서 자랑스러워.,
창업/준비,제가 쇼핑몰 창업을 준비중이거든요.,
창업/준비,딱히 디자인이나 패션에 관심 있는 건 아니고 사업에 관심 많아요.,
창업/준비,이게 아무래도 초기 자본이 조금은 필요한 일이거든요.,
창업/준비,사람들을 만나는 것을 좋아해서 카페를 창업하려고 해.,
창업/준비,사람들을 만나는 것이 좋아 카페를 창업하려고 해.,
창업/준비,친구와 창업 계획서를 제출했는데 통과되었어. 너무 기뻐.,
창업/준비,벌써 창업 준비를 시작한 지 이 년이 되어가는데 생각보다 진행이 더뎌서 기분이 우울해진다.,
창업/준비,직장이 마음에 안 들어서 그만두고 창업을 준비 중인데 잘 되지 않을까봐 두려워.,
창업/준비,친한 선배가 퇴직금으로 창업을 권해줬어.,
창업/준비,큰아들이 직장을 그만두고 나와서 창업을 하겠다는데 걱정이야.,
창업/준비,이제 창업을 준비해야 할 것 같아.,
창업/준비,나 창업 준비해야 할 거 같아. 은퇴할 시기가 다가오거든.,
창업/준비,은퇴하고 치킨집 창업을 고민중이야.,
창업/준비,이번에 음식점 창업을 하게되었는데 첫 수익을 계산해봤어.,
창업/준비,친구와 창업 계획서를 제출했는데 통과되었어. 너무 기뻐.,
창업/준비,빠른 은퇴 후 무엇을 할까 고민하다가 창업을 준비하게 되었어.,
창업/준비,사람들을 만나는 것을 좋아해서 카페를 창업하려고 해.,
창업/힘듦,"사업을 대체 왜 하는 거지, 집안이나 말아 먹지 이런 생각이 들어가지구요.",
창업/힘듦,장사가 너무 안돼서 최근에 창업한 가게를 결국 내놓게 되었어. 빚이 너무 많은데 큰일이야.,
창업/힘듦,창업한 지 오 년 만에 문을 닫았어. 은퇴하고 시작한 거라 잘됐어야 했는데 너무 화가 나.,
창업/힘듦,나 창업할 때 돈 빌려준 친구가 이후에 자꾸 훈수를 둬서 짜증이 나.,
창업/힘듦,은퇴 자금으로 노후에 편의점 창업을 하려고 했는데 암에 걸려서 자금을 다 날려버려서 짜증이 나.,
창업/힘듦,회사 은퇴하고 창업한 사업이 망해버렸어. 오랜 세월 하도 고생을 해서 관절도 다 상했어.,
창업/힘듦,장사가 너무 안돼서 최근에 창업한 가게를 결국 내놓게 되었어.,
창업/힘듦,은퇴 후 창업을 했지만 일 년 만에 지병이 악화되어 접어야 했다는 사실이 화가 나.,
창업/힘듦,벌써 창업 준비를 시작한 지 이 년이 되어가는데 생각보다 진행이 더뎌서 기분이 우울해진다.,
창피함,남자가 쪽팔리게 새 무서워한다고 말하기 창피하잖아요.,의외로 아무도 신경을 안 쓸지도 몰라요! 용기를 가져봐요!
창피함,부끄럽고 창피해서 목을 계속 손으로 가리게 돼.,나에게 가장 관심이 많은 건 나라고 하잖아요. 다른 사람들은 금방 잊어버릴 거예요!
창피함,아무렇지 않게 있다가 갑자기 이러니까… 너무 쪽 팔려.,앞으로 일어날 일 중에 가장 최악은 뭘까요? 말하고 나면 마음이 편해질지도 몰라요.
창피함,나 진짜 쪽팔려서 내일 학교 어떻게 가지?,
창피함,내가 걔한테 업혀 나오면서 침도 엄청 흘렸대. 아 어떡해. 창피해.,
창피함,창피하다고.,
창피함,그 남자선배 얼굴 쪽팔려서 못 보겠고.,
창피함,사람이 언제 홱 바뀔지 모르니까 항상 초조하지. ,시간이 얼른 지나갔으면 좋겠어요. 하루하루에 충실하면 조금 더 빨리 날짜가 지나갈 거예요.
창피함,일도 다시 시작하고 싶고… 일상으로 돌아가고 싶은데… 낫질 않으니 너무 초조합니다.,늘 불안한 마음이 드시는 건가요? 병원에서 상담을 한번 받아보는 건 어떨까요?
창피함,그래도 조마조마할 때가 있긴 해…,초조한 기분이 심해질 땐 크게 기지개를 켜보는 건 어때요?
창피함,마음만 초조하고 되는 게 하나도 없네.,
창피함,생각처럼 안 되면 초조해지고.,
창피함,사회에 나오기 전에 마지막 기회인 것 같거든요.,
창피함,뭔가 시간을 버리고 있단 생각이 들어서 막 초조해져.,
충격,충격을 많이 받았어. 내가 볼 때는 마냥 밝아만 보였거든.,지금은 괜찮으신가요?
충격,솔직히 진짜 충격이었지.,많이 무섭고 힘들었겠어요. 그런 상황에서는 누구나 놀랐을 거예요.
충격,거울을 보고 너무 깜짝 놀랐어요.,제가 차라도 타드릴 수 있으면 좋을 텐데… 마음이 아프네요.
충격,그때 진짜 확 깼어요.,
충격,남편은 그냥 장난스럽게 누구냐고 묻고 넘어갔는데… 난 너무 놀라서 진정이 안되더라고…,
충격,그 때 사상자는 없었는데 정말 엄청 놀랐었거든요.,
충격,남의 이야기라고 생각했는데… 충격을 많이 받았어요.,
충격,나는 순간 내가 잘못 들은 줄 알았어.,
충격,티를 안 내려고 노력했는데 가슴이 철렁 한 거야.,
충격,충격이 컸어요.,
충격,너무 놀라서 아무 말도 못 했는데 걔래요. 범인이 걔였대요.,
충격,일단 고소는 좀 더 생각해보기로 했는데 그 날 너무 충격을 받았어요.,
충격,그래서 충격이었어요.,
충격,채팅으로 자기야 라고 말하는 걸 보고도 믿을 수가 없었어요.,
충격,너무 놀라서 아무 말도 못 했는데 걔래요. 범인이 걔였대요.,
충격,일단 고소는 좀 더 생각해보기로 했는데 그 날 너무 충격을 받았어요.,
충격,아마 이 때 너무 충격을 받아서 그런 건 아닐까 싶기도 해요.,
충격,너무나 충격이었어.,
충격,너무 충격이 커서 그냥 아무말 없이 모른척하고 방을 나와버렸어.,
취미,요즘 체력을 키우려고 수영을 배우거든. 이번에 새로 온 수영 선생은 실력이 있는 것 같아서 믿음직스러워.,
취미,아빠가 난 피아노에 재능이 있대. 그래서 나도 너무 기뻐.,
취미,요즘 수영을 새로 배우고 있는데 칭찬을 많이 들어서 기분이 좋아!,
취미,"평일에는 퇴근하고 영어 회화 수업 들으러 다니고, 주말에는 평소 춤 추는 거 좋아해서 탱고 배우러 다녀요.",좋은 취미를 가지고 계시네요.
취미,그래서 평일에는 영어 학원 나가.,적절한 취미 활동은 생활에 활력을 주는 것 같아요.
취미,딱딱하고 재미 없을 줄 알았는데 영어를 회화로 배우니까 제법 재미가 있더라.,재미있어 보여요. 저도 함께 하고 싶네요.
취미,"다니다 보니까 거기 학생들이랑도 많이 친해지고, 좋은 취미인 거 같아.",
취미,"운동은 필요한데, 헬스는 지겨울 거 같고… 그래서 주말에 탱고를 끊었어.",
취미,"춤을 추니까 운동량도 많고, 되게 재밌어. ",
취미,평일에도 집에서 혼자 거울 보고 스텝 밟는다니까.,
취미,춤바람 들어서 주변에도 막 권해주고… 나 때문에 춤 시작한 사람도 몇 명 있어.,
취미,나 평소에 자전거 타러 다니는 거 좋아했잖아. 내 유일한 취미고.,
취미,"전 공연도 많이 보는 편이고, 전시회도 기회가 될 때마다 가거든요.",
취미,"바둑, 낚시, 등산, 이런 거 나랑 너무 안 맞는 거 같아.",
취업/걱정,취업을 한다해도 과연 안정적으로 돈을 벌 수 있을까,
취업/걱정,취업이 걱정스러워.,
취업/걱정,코로나일구 때문에 이번 하반기도 취업 시장이 불황이라 걱정이야.,
취업/걱정,나 요즘 취업때문에 고민이야.,
취업/걱정,이런 식으로 취업 준비를 하는 게 맞는 일인지 모르겠어.,
취업/걱정,졸업이 얼마 안남았어.근데 취업 준비를 제대로 못한것같아서 속이 타네.,
취업/걱정,요즘에는 취업을 하려고 해도 일자리가 없어서 불안해.,
취업/걱정,취업을 빨리 해야할 것 같아서 너무 초조해.,
취업/걱정,취업 문제로 많이 불안하시군요.,
취업/걱정,얼굴에 흉터가 있는데 이것 때문에 취업에 지장이 있을까 봐 걱정돼.,
취업/걱정,내 전공으로 취업을 할 수 있을까? 너무 불안하고 스트레스받아.,
취업/걱정,나이도 이십 대 후반이고 여자라서 취업하는 데 있어서 취약한 기분이야.,
취업/걱정,대학교 사학년이 되니까 슬슬 취업 생각에 종일 마음이 너무 불안해.,
취업/걱정,준비하던 시험도 합격하고 취업에 성공했는데 마음이 항상 불안해.,
취업/걱정,남자친구가 공부를 열심히 안 해서 취업이 안 될까 걱정이야.,
취업/걱정,코로나가 점점 심해지고 있어. 나 올해 안에 취업 될까?,
취업/걱정,올해는 취업하기가 어려울 것 같아. 준비를 소홀히 해서 어떤 회사도 나를 받아줄 것 같지 않아.,
취업/걱정,퇴직 후 다시 취업을 한다고 해도 예전의 수입을 유지할 수 있을지 걱정이 돼서 불안해.,
취업/걱정,면접에서 떨어진 게 이번에 다섯 번째야. 계속 떨어져서 취업 못 할까 봐 불안해.,
취업/걱정,친구들은 취업이 되었는데 나만 취업이 안 돼서 너무 불안해.,
취업/걱정,나이도 많은데 좋은 일자리에 취업이 될까 걱정이야.,
취업/걱정,요즘 나 진로 취업 문제들 때문에 혼란스러워.,
취업/걱정,취업 준비를 하는 데 겁이 나.,
취업/걱정,딸이 올해에도 취업하지 못할까 봐 걱정돼.,
취업/걱정,추석 때 고모가 또 취업 얘길 꺼냈어. 부모님은 내색하지 않으시지만 걱정을 많이 하시는 것 같아.,
취업/걱정,이런 식으로 취업 준비를 하는 게 맞는 일인지 모르겠어.,
취업/걱정,요즘 코로나 때문에 취업 시장이 너무 혼란스러워.,
취업/걱정,대학교 사학년이 되니까 슬슬 취업 생각에 종일 마음이 너무 불안해.,
취업/걱정,취업도 못 하고 인생에서 낙오자가 될까 봐 겁이 나.,
취업/걱정,딸 걱정이 너무 돼서 취업은 어찌 되는지 조심스럽게 물어봤어.,
취업/걱정,딸이 올해에도 취업하지 못할까봐 걱정돼.,
취업/걱정,이번에 취업률이 역대 최저래. 내가 취업할 수 있을까 두려워.,
취업/걱정,유학을 다녀와서 지방 대학을 나왔더니 마땅히 취업할 곳이 없어서 불안하네.,
취업/걱정,지금 정말 혼란스러워. 취업 성공했다고 생각했는데 아니었어.,
취업/걱정,요즘 취업이 어려워서 너무 걱정이야.,
취업/걱정,취업 준비하는 기간이 길어지면서 취업을 할 수 있을지 걱정스러워.,
취업/걱정,내년이 졸업인데 취업 문제 때문에 걱정이야.,
취업/걱정,내  주변 친구들이 하나둘 취업에 성공하고 있어. 난 아직 취업을 못 해서 초조해.,
취업/걱정,지원한 기업들에 모두 떨어져서 앞으로 내가 취업할 수 있을지 자신감도 떨어지고 걱정돼.,
취업/걱정,나이도 많은데 좋은 일자리에 취업이 될까 걱정이야.,
취업/걱정,취업 준비하는데 심적으로 너무 힘들어.,
취업/걱정,요즘 취업 때문에 걱정이야.,
취업/걱정,취업이 안 돼서 걱정이야. 이 시간이 길어지니 내가 초라하게 느껴져.,
취업/걱정,내 전공으로 취업을 할 수 있을까? 너무 불안하고 스트레스받아.,
취업/걱정,요즘 취업이 잘 안 된다 해서 너무 두려워.,
취업/걱정,올해가 가기 전에 취업을 할 수 있을지 걱정이야.,
취업/걱정,취업이 될까 싶어서 걱정이야.,
취업/걱정,우리 아들이 취업을 못 해 걱정이야.,
취업/걱정,과연 취업을 할 수 있을까? 너무 불안해.,
취업/걱정,내가 과연 취업을 할 수 있을까?,
취업/걱정,요즘 세상에 취업하는 것도 조심스러운 것 같아.,
취업/걱정,올해는 무조건 취업을 하라고 으름장을 놓는 아빠 때문에 집에 있는 게 힘들어.,
취업/걱정,취업이 잘 안 되니까 불안해.,
취업/걱정,취업이 걱정스러워.,
취업/걱정,딸이 취업 스트레스를 너무 받아서 극단적인 선택을 할까 봐 걱정돼.,
취업/걱정,취업 때문에 걱정이야. 진로를 어떻게 정해야 하는지 조심스러워.,
취업/걱정,졸업 후 취업 준비를 생각하면 답답해.,
취업/걱정,과연 난 앞으로 취업을 할 수 있을까?,
취업/걱정,졸업을 하고 자격증을 따도 취업에 성공할 거라는 생각이 들지 않아.,
취업/고민,취업 준비중인데 어려움이 있으시군요. 어떤 점이 막막하세요?,
취업/고민,취업준비생인데 얼마 전에 면접 본 회사에서 입사를 권유받았어. 근데 가야 할지 고민되네.,
취업/성공,나 오늘 취업에 성공했어!,
취업/성공,나 삼 수만에 드디어 취업했어. 정말 기뻐!,
취업/성공,딸이 취직했어. 정말 기뻐.,
취업/성공,방금 최종 면접 통과 했다고 연락왔어!,
취업/성공,올해 드디어 원하는 회사에 입사했어.,
취업/성공,나 드디어 취업했어. 막힌 체증이 풀리는 느낌이야.,
취업/성공,나 직장에 합격했어!,
취업/성공,이번에 드디어 내가 들어가고 싶은 회사에 취업이 되었어. 너무 기뻐.,
취업/성공,나 이번에 취직에 성공했어.,
취업/성공,드디어 취업이 되었어. ,
취업/성공,요즘 취업난이 심각한데 무사히 취업에 성공했어.,
취업/성공,나 취업 했어.,
취업/성공,드디어 취업에 성공했어! 다 그 친구 덕분이야.,
취업/성공,드디어 취직했어!,
취업/성공,그러다 지금 일하는 회사에 작년에 취업이 됐어.,그렇군요. 직업활동은 중요한 부분이죠.
취업/성공,지금 삼성전자에 다녀. ,그러시군요. 
취업/성공,"잡지 기자로 일하고 있는데, 다른 건 다 괜찮아.",일 하는 건 어떠신가요?
취업/성공,"고등학교 졸업하고, 동대문 지하에서 원단 나르는 일하고 있어. ",
취업/성공,"힘들긴 한데, 그만큼 돈도 많이 주고 해서 괜찮아. ",
취업/성공,학교 졸업하고 바로 토목회사 취직해서 다니고 있어. ,
취업/성공,졸업하고 3월부터 일을 하고 있지.,
취업/성공,처음엔 돈 버는 재미도 있고 즐거웠죠.,
취업/성공,대학 졸업후 가고 싶던 보험 회사에 어렵지 않게 취직했고요.,
취업/성공,동아출판사에서 연락이 와서 다니게 됐어요.,
취업/성공,진짜 난 안 되나 보다… 싶을 때 지금 회사에서 연락이 왔어요. ,그러셨군요. 출근은 어떠셨나요?
취업/성공,"다행히 조건도 좋고… 이러려고 여태 고생했나 보다, 하면서 기쁜 마음으로 출근을 시작했어요.",
취업/성공,졸업하고 바로 경리로 취직을 했어.,
취업/성공,처음에는 돈을 버니까 좋더라?,
취업/성공,전문대 졸업하고 바로 취업했습니다.,
취업/성공,나라도 좀 보태야겠다 싶어서 집 근처 마트에 취직해서 일한 지 2년이 다 되어가네요.,
취업/성공,결국엔 자기 가게에 나와서 일을 하라고 하더라.,
취업/성공,집에만 있으니 우울하기도 하고 남편 도와줄 겸해서 가게에 취직을 했어요.,
취업/성공,전문대 졸업하고 바로 토목회사에 취업했거든.,
취업/성공,제가 고등학교 졸업하고 나서 바로 취업을 했어요.,
취업/성공,제가 대학 졸업하고 바로 취업을 했거든요.,
취업/성공,제가 대학 졸업하고 바로 공무원이 됐어요.,
취업/성공,한곳에서 합격했다고 연락이 와서 단번에 다니겠다고 소리질렀지.,
취업/성공,새 직장에 이번에 취업했어. 그런데 내 적성에 맞을지 걱정이야.,
취업/성공,이번에 취업 성공했어. 새로운 사람들에게 어떻게 다가가야 할지 잘 모르겠어.,
취업/성공,나 드디어 취업에 성공했어!,
취업/성공,나 이번에 취업했어. ,
취업/성공,취업에 성공했는데도 불안해.,
취업/성공,나 드디어 취업에 성공했어!,
취업/스펙부족,취업준비하는데 스펙이 너무 부족한거 같아.,
취업/스펙부족,나름 스펙도 열심히 쌓고 대학 생활 내내 열심히 노력했는데 취업 길이 생각보다 좁아 당혹스러워.,
취업/스펙부족,나는 스펙이 부족해서 너무 걱정이야. 취업이 어려울 것 같아.,
취업/스펙부족,취업 준비하는데 스펙이 너무 부족한 거 같아.,
취업/스펙부족,취업을 해야 하는데 잘 안돼서 걱정이야. 너무 불안해.,
취업/스펙부족,취업에 필요한 스펙을 너무 못 쌓았어.,
취업/스펙부족,취업을 하고 싶은데 서류전형에서 자꾸 떨어져서 포기하고 싶어.  ,
취업/스펙부족,나는 스펙이 부족해서 너무 걱정이야. 취업이 어려울 것 같아.,
취업/스펙부족,취업하기 위해 무엇을 준비해야 하는지 걱정이야.,
취업/스펙부족,취업에 필요한 스펙을 너무 못쌓았어.,
취업/준비,내일 내가 취직하고 싶은 기업의 면접이 예정 돼 있어.,
취업/준비,이번 면접에서는 최종합격할 것 같아. ,
취업/준비,"대학 졸업하고, 1년 동안 지겹게 놀았어. ",요즘 정말 취직하기가 어렵죠… 
취업/준비,"다른 애들은 다 취업했는데, 저만 아직 취준생이에요.",곧 좋은 소식이 들릴 거예요. 희망을 놓지 마세요.
취업/준비,대학 졸업하고 3년 째 취업 준비 중이야.,차근차근 준비하다 보면 원하던 회사에서 연락이 올 거예요. 저는 그렇게 믿어요.
취업/준비,대학 졸업하고 계속 취업 준비 중이야. 취업이 쉽지 않네. ,
취업/준비,이젠 취업을 해야 할 것 같아요. 근데 어떤 것부터 해야 할 지 모르겠어요.,
취업/준비,지금이 아니면 안 된다는 마음으로 독하게 취직을 준비했어요.,
취업/준비,고등학교 졸업하자마자 취업준비를 했어요.,
취업/준비,제대로 취업준비를 해서 돈을 벌어야겠다고 생각했어요.,
취업/준비,아버지 일때문에 돈을 벌기 위해 취업준비를 죽을듯이 했어.,
취업/준비,"하고 싶은 것도 딱히 없고, 빨리 취직하고 싶어서 상고에 갔어요.",그러셨군요. 돈을 버는 건 정말 멋진 일이죠.
취업/준비,나도 빨리 돈을 벌고 싶기도 했고… 상고 졸업하고 바로 취업을 했어.,그러셨군요. 노동은 정말 보람찬 거 같아요.
취업/준비,하는 수 없이 내가 마트에 나가서 일을 하고 있어.,
취업/준비,내가 좋은 대학을 가서 취업을 잘하면 좋을텐데…,
취업/준비,그리고 몇몇 출판사에 이력서를 넣었어.,
취업/준비,취업을 해야 하는데 앞으로 어떻게 해야 할지 막막해서 혼란스럽고 답답해.,
취업/준비,친구들은 다들 좋은 회사에 취업했는데 나는 아직도 진로를 결정하지 못했어.,
취업/준비,친구들도 다 취업을 했고 내일이 면접인데 나도 취업을 할 수 있겠지.,
취업/준비,대학교를 졸업하고 이제 취업을 해야 해.,
취업/힘듦,취업도 힘들고… ,좋은 일자리 찾기가 정말 힘든 것 같아요.
취업/힘듦,결국 요양원에 모시고 다시 일을 구하고 있는데 생각처럼 일이 안 잡혀.,결국 당신에게 맞는 자리가 생길 거예요.
취업/힘듦,영문과 졸업했는데 취업하기가 너무 힘들어.,지금은 조금 힘들더라도 조금만 버텨보세요. 좋은 소식이 들릴 거예요.
취업/힘듦,그래서 새 직장 알아보는 일이 더 힘들었던 것 같아요.,
취업/힘듦,우리집 먹고 살리려면 일을 해야되는데 취직하기가 어려웠어요.,
취업/힘듦,"이력서를 쓰려고 하는데, 하루종일 한 줄도 못 썼어요.",
취업/힘듦,자리 나면 말해주겠다고… 얼마 안 걸릴 거라고 그런 소리도 들었는데… ,
취업/힘듦,내 주변에는 다 취업을 했는데 난 왜 이렇게 어려울까?,
취업/힘듦,요즘에 취업이 잘 안 돼서 정말 힘들어.,
취업/힘듦,요즘 취업하기가 너무 어려운 것 같아. 힘들다.,
취업/힘듦,요건이 부족해서 취업하기가 취약한 조건인 것 같아.,
취업/힘듦,취업하기 진짜 너무 힘들다. 코로나 때문에 더 화가 나.,
취업/힘듦,요즘 취업이 잘 안 돼서 너무 스트레스를 받아. 이 길이 맞나 하는 진로에 대한 믿음도 흔들리고.,"네, 그러셨군요. "
취업/힘듦,친척 어른들이 취업했냐고 물어볼 때마다 스트레스 받아.,
취업/힘듦,코로나로 채용 공고가 줄어서 취업 문이 좁아져 힘들어.,
취업/힘듦,대학 졸업하고 취업 준비 중인데 생각처럼 쉽지 않아.,
취업/힘듦,취업 때문에 속상해.,
취업/힘듦,취업 준비를 포기할래. 더는 불합격 통보에 상처받고 싶지 않아.,
취업/힘듦,친척 어른들이 취업했냐고 물어볼 때마다 스트레스 받아.,
취업/힘듦,취업 준비를 해야 하는데 무엇부터 해야 할지 모르겠어.,
취업/힘듦,아직도 취업도 못했는데 이번 면접도 다 떨어질까 봐 불안해.,
취업/힘듦,아직도 취업을 하지 못해서 집에서 얼굴도 못 들 지경이야.,
취업/힘듦,딸이 취업 스트레스 때문에 방에서 나오질 않아.,
취업/힘듦,내 주변 사람들은 다 취업에 성공했는데 나만 아직 백수야.,
취업/힘듦,코로나 때문에 취업 시장도 문을 닫고 있어서 막막하네.,
취업/힘듦,아직 취업을 못해서 명절 때마다 친척들이 잔소리를 해서 스트레스를 받아.,
취업/힘듦,코로나 때문에 취업이 힘들어.,
취업/힘듦,취업하기가 진짜 어려운 것 같아.,
취업/힘듦,친척 어른들이 취업했냐고 물어볼 때마다 스트레스받아.,
취업/힘듦,코로나가 내 취업 길을 계속 막는 거 같아. 이러다 취업이 안 되면 어떻게 하지?,
취업/힘듦,취업 때문에 스트레스받아. 공채채용도 없어지고 어떻게 하면 좋을까?,
취업/힘듦,이번에도 취업에 실패하고 말았어. ,
취업/힘듦,열심히 취업 준비해서 시험을 봤는데 떨어졌어.,
취업/힘듦,요즘 취업이 잘 안 돼서 자신감이 없어졌는지 사람 대할 때 뭔가 계속 불안하고 초조해.,
취업/힘듦,취업하기가 너무 힘들어. 점점 마음이 약해지고 있어.,
취업/힘듦,졸업한 지 벌써 일 년이 넘어가는데 아직도 취업을 못 했어.,
취업/힘듦,대학 졸업한 지 이년이 지났는데 구직난 때문에 취업이 두려워져.,
취업/힘듦,취업이 확실하지 않아서 너무 두려워.,
취업/힘듦,취업이 안 돼서 걱정이야.,
취업/힘듦,나 너무 힘들어. 취업은 왜 이리 힘든 건지. 내가 못하는 게 너무 많은 것 같아.,
취업/힘듦,올해도 취업을 못 할까 봐 두려워.,
취업/힘듦,취업해야 하는 나이인데 취업을 못 해서 걱정스러워.,
취업/힘듦,빨리 취직하고 싶어. 올해도 취업 못 할까 봐 걱정이야.,
취업/힘듦,요즘에 취업이 잘 안 돼서 정말 힘들어.,
취업/힘듦,이번에도 취업에 실패했어.,
취업/힘듦,요즘 우리나라는 취업기반이 취약한 것 같아. 취업하고 싶다.,
취업/힘듦,나는 언제쯤 취업이 될까.,
취업/힘듦,친척들이 취업 안 했냐고 자꾸 물어봐서 신경 쓰여.,
취업/힘듦,요즘 취업을 못 해서 너무 초조해,
취업/힘듦,난 왜 취업을 못 할까?,
취업/힘듦,취업하고 싶은데 서류전형에서 자꾸 떨어져서 포기하고 싶어.  ,
취업/힘듦,취업하기 위해서 내가 이렇게까지 해야 하는 건가?,
취업/힘듦,취업의 마지막 관문 면접에서 실수를 많이 했어.,
취업/힘듦,요새 취업이 잘 안 돼서 정말 고민이야.,
취업/힘듦,요즘 취업 준비를 하고 있는데 쉽지 않은 것 같아.,
취업/힘듦,나 너무 힘들어. 몇 년째 취업도 안 되고. 부모님 뵐 면목도 없네.,
취업/힘듦,취업도 잘 안 되고 그래서 그냥 유학을 다녀올까 고민 중이야.,
취업/힘듦,벌써 육 개월째 취업이 안 돼서 힘들어.,
취업/힘듦,나이가 먹어가면서 취업이 더 어려워지는 것 같아.,
취업/힘듦,친구들은 다 취업에 성공했는데 나만 못한 것 같아.,
취업/힘듦,요즘 취업하는 게 참 취약하지.,
취업/힘듦,안 그래도 취업이 어려운데 요즘은 코로나로 취업 시장이 더 위축되어 큰일이야.,
취업/힘듦,이렇게 이력서를 많이 뿌리는데도 취업은커녕 면접 연락도 안 와.,
취업/힘듦,추석 때 고모가 또 취업 얘길 꺼냈어. 부모님은 내색하지 않으시지만 걱정을 많이 하시는 것 같아.,
취업/힘듦,요새 취업하기 힘들다는 건 알고 있었지만 진짜 너무 힘들다.,
취업/힘듦,요즘 일자리가 적어서 그런지 취업이 점점 더 어려워지네.,
취업/힘듦,취업이 힘들어서 큰일이네.,
취업/힘듦,취업하기 진짜 너무 힘들다. 코로나 때문에 더 화가 나.,
취업박람회,취업 박람회에서 면접을 봤는데 떨어진 것 같아서 두려워.,
취업박람회,취업박람회에서 면접을 봤는데 떨어진 것 같아서 두려워.,
취업박람회,오늘도 취업박람회 갔다 왔는데 역시 인기와 비인기 분야가 확실히 구별되더라.,
취업상담,내가 위암이력이 있는데도 취업할 수 있는지 경비하는 친구한테 물어봤어.,
취업상담,취업 시장이 얼어붙어서 내가 취업할 곳이 있을지 모르겠어.,
취업상담,앞으로 어떻게 취업해야 하는지 고민이 돼.,
취업상담,지금 전공하는 과는 취업이 너무 어려워서 고민이야.,
취업상담,나 취업은 할 수 있을까 불안하다.,
취업상담,내가 위암 이력이 있는데 취업할 수 있는지 걱정돼.,
취업상담,나 도대체 어디에 취업해야 할지 너무 걱정돼. 채용 계획이 계속 변경되니 혼란스러워.,
취업상담,이번에 취업했는데 내 전공 쪽은 아니어서 걱정이네.,
취업상담,코로나로 채용 공고가 줄어서 취업 문이 좁아져 힘들어.,
취업상담,코로나로 전공에 맞춰 취업이 안 될 것 같아. 전공을 살리자니 시기가 아니고 안 살리자니 아깝네.,
취업상담,요즘 취업이 잘 안 돼서 너무 스트레스를 받아. 이 길이 맞나 하는 진로에 대한 믿음도 흔들리고.,
취업상담,취업공고가 많이 뜨고 있는데 어느 직장에 원서를 넣어야 할지 모르겠어.,
취업상담,나 앞으로 취업 못 할까 봐 두렵고 앞으로 진로도 두렵고 직장도 아무 곳도 못 들어갈까 봐 두려워.,
취업상담,참 문과생은 취업하기가 너무 힘든것 같다.,
취업상담,취업을 위한 자격 요건을 준비해야 해서 스트레스가 심해.,
취업상담,오늘 취업 면접 보고왓는데 사람이 많아서 떨어질꺼같아.,
취업상담,내가 위암 이력이 있는데도 취업할 수 있는지 경비하는 친구한테 물어봤어.,
취업상담,나 도대체 어디에 취업해야 할지 너무 걱정돼. 채용 계획이 계속 변경되니 혼란스러워.,
취업상담,취업 준비가 너무 어려워.,
